first_name,last_name,birth_date
Frances,Kobayakawa,02-01-1970
Sunny,Burrell,07-01-1970
Penelope,Beckett,14-01-1970
Deborah,Stewart,14-01-1970
Augusta,Decker,22-01-1970
Sookie,Brearly,01-02-1970
Temple,Wylie,10-02-1970
Deanna,Spano,23-03-1970
Jadu,Principal,28-03-1970
Betty,Stephens,28-03-1970
Jo,Sahid,31-03-1970
Santino,Hawker,08-04-1970
Andy,Guarnaccia,10-04-1970
Richard,Arroway,13-04-1970
Alan,Davis,14-04-1970
Cameron,Spellman,21-04-1970
Bertha,Smart,06-05-1970
Nicky,Klump,19-05-1970
Rose,Petrie,27-05-1970
Kenny,Skelton,29-05-1970
James,Gordon,03-06-1970
Vito,Falconeri,03-06-1970
Temple,LoPresti,08-06-1970
Kay,Treskovna,09-06-1970
Aniki,Arden,18-06-1970
Miranda,Moses,02-07-1970
Marcus,Landsman,11-07-1970
Amelia,Forbin,17-07-1970
Mel,Knight,25-07-1970
Jefferson,Blake,26-07-1970
Santino,Bennett,27-07-1970
Kelly,Morton,24-08-1970
Ben,Mephesto,02-09-1970
Elisa,Peroni,09-09-1970
Linda,Jackson,09-09-1970
Joey,Hammer,10-09-1970
Cordelia,De Syn,10-09-1970
Geordi,Kiriakis,23-09-1970
Joseph,Yang,24-09-1970
Norton,Sanders,28-09-1970
Tracy,Omovich,09-10-1970
Sabrina,Preston,11-10-1970
Eddie,Pond,13-10-1970
Celeste,Dundee,19-10-1970
Jonathan,Bluenight,21-10-1970
Betsy,Garlick,27-10-1970
Callum,Ranall,29-10-1970
Jennifer,Withers,19-11-1970
Hyman,Marlowe,22-11-1970
Danny,De Lena,30-11-1970
Sally,Fowler,13-12-1970
Lloyd,Brocklehurst,07-01-1971
Kay,Sanada,08-01-1971
Norine,McClure,29-01-1971
Dominic,Poppins,18-02-1971
Kay,Makibi,01-03-1971
Holly,Grant,01-03-1971
Carlos,Urth,20-03-1971
Robbie,Wilde,27-03-1971
Harry,Bigelow,29-03-1971
Caesar,Magliozzi,07-04-1971
Constance,Luthor,18-04-1971
Cresentmoon,Rizzoli,27-04-1971
Miguel,Fabray,28-04-1971
Jay,Hojo,28-04-1971
Harry,Travers,30-04-1971
Spats,Buchanan,07-05-1971
Paul,Omovich,17-05-1971
Paul,Schultz,18-05-1971
Mike,Hamilton,22-05-1971
Norman,Corleone,22-05-1971
Constance,Dahl,22-05-1971
Shirley,Feverfew,07-06-1971
John,Lang,12-06-1971
Sukie,Omovich,16-06-1971
Martin,Astin,20-06-1971
Paige,Dean,21-06-1971
Tony,Halliwell,23-06-1971
Michael,Che,23-06-1971
Tiola,Bluenight,25-06-1971
Jadu,Wilson,04-07-1971
Temple,Scott,11-07-1971
Carmine,Speedman,27-07-1971
Richard,Davis,03-08-1971
Don,Khan,03-08-1971
Don,Cobb,06-08-1971
Motoko,Scotts,07-08-1971
Natsumi,Cooper,21-08-1971
Neju,Gaskell,22-08-1971
George,Thompson,26-08-1971
Beanie,Thackeray,28-08-1971
Jay,Tanner,28-08-1971
Phil,Sanchez,15-09-1971
Chris,Kitka,25-09-1971
Michael,Space,26-09-1971
King,Brady,28-09-1971
Jefferson,Soap,01-10-1971
Subhash,Blake,07-10-1971
Harmony,Farrell,11-10-1971
Miss,Marvin,14-10-1971
Georgina,Pierce,15-10-1971
Ruby,Kennedy,16-10-1971
Agnes,Dresden,26-10-1971
Bill,Russo,30-10-1971
Dolores,Davenport,02-11-1971
Jiveshwar,Miller,02-11-1971
Terry,DAmico,05-11-1971
Rory,Komov,16-11-1971
Anthony,Moses,21-11-1971
Tom,Lovegood,27-11-1971
Sam,Towne,28-11-1971
Carol,Havers,18-12-1971
Adam,Lopez-Fitzgerald,29-12-1971
Morgan,Webber,01-01-1972
Max,Wilson,04-01-1972
Thomas,Omovich,06-01-1972
Art,Sindone,14-01-1972
Joanna,Cooper,15-01-1972
Roy,Martinelli,16-01-1972
Jacqueline,Dalma,12-02-1972
Angela,Maximoff,04-03-1972
Carlos,Jason,08-03-1972
Freddie,Landsman,16-03-1972
Troy,Zatara,16-03-1972
Ariel,Scribbs,23-03-1972
Temple,Tsujimoto,31-03-1972
Leland,Molly,08-04-1972
Celestina,Principal,19-04-1972
Vera,Gottwald,25-04-1972
Katie,Matthews,27-04-1972
Melody,Travis,27-04-1972
Peter,Thornton,05-05-1972
Holly,Bennett,05-05-1972
Simon,Heriot,26-05-1972
Achille,Travis,29-05-1972
Sonny,Carter,01-06-1972
Carmel,Espinosa,02-06-1972
Minami,McArthur,10-06-1972
Jackson,Parker,11-06-1972
Constance,Martin,16-06-1972
Damian,Robins,02-07-1972
Achille,Cameron,08-07-1972
James,Frost,14-07-1972
Sarah,Daniels,22-07-1972
Lester,Maximoff,24-07-1972
Sam,Rooney,02-08-1972
Turanga,Ranall,03-08-1972
Penny,Sugden,05-08-1972
Goldie,Jones,07-08-1972
Samus,Dalton,10-08-1972
Jeffrey,Marlowe,12-08-1972
Rajesh,Omovich,15-08-1972
Gwen,Gottwald,27-08-1972
Margaret,Levinson,30-08-1972
Hayley,Polin,15-09-1972
Kima,Grissom,17-09-1972
Truman,Kennedy,18-09-1972
Alice,Jones,09-10-1972
Polly,Billa,11-10-1972
Jonathan,McAllister,12-10-1972
Jerry,Trask,13-10-1972
Michael,Pratt,02-11-1972
Adam,Sugden,05-11-1972
Ford,Owens,18-11-1972
Paul,Mitchell,21-11-1972
Woody,Franklin,25-12-1972
Dorrie,Wright,29-12-1972
Bathsheda,Kent,30-12-1972
Temple,Davies,04-01-1973
Eloise,Craven,10-01-1973
Sophie,Dunlap,14-01-1973
Guy,Tyrell,05-02-1973
Temple,Parker,19-02-1973
Donna,Dax,24-02-1973
Mickey,Swanson,03-03-1973
Gabriel,Price,08-03-1973
Javier,Snout,21-03-1973
Chick,Ash,22-03-1973
Edward,Sullivan,23-03-1973
Alecto,Burdock,25-03-1973
Eddie,Potts,06-04-1973
Mickey,Zaluchi,07-04-1973
Sarah,Pike,26-04-1973
Marvin,Dredd,29-04-1973
Melinda,Travis,07-05-1973
Jessica,March,08-05-1973
Ann,Turtle,11-05-1973
David,Lonnegan,21-05-1973
Matthew,Costigan,25-05-1973
Tara,Beaumann,26-05-1973
Angela,Buchanan,30-05-1973
Harley,Tryggvassen,03-06-1973
Joe,Dingle,08-06-1973
Lola,Languish,09-06-1973
Vincent,Lopez,11-06-1973
Dale,Brockman,20-07-1973
Tom,Martin,21-07-1973
Sue,Fett,21-07-1973
Cross,Halliwell,02-08-1973
Pat,Halliwell,05-08-1973
Yosh,Lynch,07-08-1973
Salvatore,Bardo,15-08-1973
Victoire,Jonas,22-08-1973
Stan,Alvin,24-08-1973
